client_id,t1_2,t2_3,t3_4,t4_5,t5_6,t6_7,t7_8,t8_9,t9_10,t10_11,t11_12
C_006,1,2,1,0,0,0,0,0,0,2,2
C_010,1,2,2,1,1,0,0,2,0,0,0
C_012,2,2,2,0,2,1,0,2,0,0,0
C_014,1,2,1,1,0,0,0,0,0,2,1
C_017,1,0,2,2,0,0,0,0,0,0,0
C_024,1,2,2,1,0,0,0,0,0,2,2
C_027,2,2,2,1,1,0,0,0,0,0,0
C_029,2,2,2,1,1,1,0,2,0,0,0
C_032,1,2,2,0,1,0,0,0,0,0,0
C_034,1,2,2,1,1,0,0,0,0,0,0
C_035,2,2,2,2,1,1,0,0,0,0,0
C_036,2,2,3,1,1,0,1,0,0,0,0
C_045,2,2,1,1,0,0,0,1,0,0,0
C_046,1,2,2,2,1,0,2,0,0,0,0
C_047,2,2,1,1,0,0,0,0,0,0,0
C_056,1,2,2,2,1,1,0,0,0,0,0
C_061,3,1,1,0,1,0,2,0,0,0,0
C_063,1,2,1,1,0,0,0,0,0,0,0
C_064,1,1,3,1,1,0,0,0,0,0,0
C_068,2,2,2,1,0,2,2,0,0,0,2
C_073,1,2,2,2,0,0,0,2,0,0,0
C_075,1,1,1,0,0,0,0,0,0,0,0
C_085,1,2,2,2,0,0,0,0,0,0,0
C_086,1,2,2,0,0,0,0,0,0,0,0
C_089,1,2,2,2,1,0,1,0,0,0,0
C_090,1,2,2,1,0,0,0,0,0,0,0
C_091,2,2,2,0,0,0,2,0,0,0,0
C_092,1,2,2,1,0,0,0,2,1,0,0
C_101,1,1,1,0,0,0,0,0,0,0,0
C_103,2,2,2,1,1,0,0,0,0,0,0
C_104,2,2,2,2,0,0,0,0,0,0,0
C_105,1,1,2,0,0,0,0,0,0,0,0
C_108,1,2,2,1,2,1,1,0,0,0,0
C_109,2,2,2,0,0,0,0,0,0,0,0
C_110,2,2,2,2,0,0,0,0,0,0,0
C_112,2,2,2,0,0,0,2,2,0,0,1
C_113,2,2,2,0,0,0,0,0,0,0,1
C_114,2,1,2,1,0,0,0,0,0,0,0
C_116,1,2,2,1,1,0,0,0,0,0,0
C_120,1,1,2,0,0,1,2,0,0,1,0
